mjd,mag,magerr
0.0,0.0,0.05
1.0,0.0,0.05
2.0,7.0,0.05
3.0,10.0,0.05
4.0,15.0,0.05
5.0,22.0,0.05
6.0,24.0,0.05
7.0,26.0,0.05
8.0,26.0,0.05
9.0,35.0,0.05
10.0,35.0,0.05
11.0,42.0,0.05
12.0,47.0,0.05
13.0,53.0,0.05
14.0,56.0,0.05
15.0,66.0,0.05
16.0,66.0,0.05
17.0,67.0,0.05
18.0,77.0,0.05
19.0,86.0,0.05
20.0,92.0,0.05
21.0,99.0,0.05
22.0,102.0,0.05
23.0,102.0,0.05
24.0,113.0,0.05
25.0,115.0,0.05
26.0,117.0,0.05
27.0,121.0,0.05
28.0,123.0,0.05
29.0,124.0,0.05
30.0,124.0,0.05
31.0,164.0,0.05
32.0,172.0,0.05
33.0,180.0,0.05
34.0,187.0,0.05
35.0,189.0,0.05
36.0,189.0,0.05
37.0,192.0,0.05
38.0,215.0,0.05
39.0,219.0,0.05
40.0,229.0,0.05
41.0,242.0,0.05
42.0,255.0,0.05
43.0,256.0,0.05
44.0,257.0,0.05
45.0,273.0,0.05
46.0,291.0,0.05
47.0,311.0,0.05
48.0,331.0,0.05
49.0,358.0,0.05
50.0,361.0,0.05
51.0,364.0,0.05
52.0,398.0,0.05
53.0,420.0,0.05
54.0,424.0,0.05
55.0,435.0,0.05
56.0,438.0,0.05
57.0,443.0,0.05
58.0,446.0,0.05
59.0,489.0,0.05
60.0,529.0,0.05
61.0,549.0,0.05
62.0,560.0,0.05
63.0,565.0,0.05
64.0,567.0,0.05
65.0,572.0,0.05
66.0,605.0,0.05
67.0,651.0,0.05
68.0,672.0,0.05
69.0,689.0,0.05
70.0,712.0,0.05
71.0,718.0,0.05
72.0,721.0,0.05
73.0,750.0,0.05
74.0,755.0,0.05
75.0,770.0,0.05
76.0,778.0,0.05
77.0,784.0,0.05
78.0,786.0,0.05
79.0,790.0,0.05
80.0,807.0,0.05
81.0,832.0,0.05
82.0,841.0,0.05
83.0,847.0,0.05
84.0,854.0,0.05
85.0,858.0,0.05
86.0,860.0,0.05
87.0,869.0,0.05
88.0,876.0,0.05
89.0,888.0,0.05
90.0,893.0,0.05
91.0,893.0,0.05
92.0,903.0,0.05
93.0,910.0,0.05
94.0,930.0,0.05
95.0,937.0,0.05
96.0,949.0,0.05
97.0,952.0,0.05
98.0,957.0,0.05
99.0,958.0,0.05
100.0,961.0,0.05
101.0,967.0,0.05
102.0,969.0,0.05
103.0,973.0,0.05
104.0,974.0,0.05
105.0,975.0,0.05
106.0,978.0,0.05
107.0,978.0,0.05
108.0,978.0,0.05
109.0,980.0,0.05
110.0,985.0,0.05
111.0,984.0,0.05
112.0,986.0,0.05
113.0,986.0,0.05
114.0,987.0,0.05
115.0,989.0,0.05
116.0,990.0,0.05
117.0,993.0,0.05
118.0,994.0,0.05
119.0,995.0,0.05
