mjd,mag,magerr
0.0,0.0,0.05
1.0,2.0,0.05
2.0,2.0,0.05
3.0,3.0,0.05
4.0,4.0,0.05
5.0,6.0,0.05
6.0,6.0,0.05
7.0,7.0,0.05
8.0,8.0,0.05
9.0,12.0,0.05
10.0,15.0,0.05
11.0,22.0,0.05
12.0,24.0,0.05
13.0,24.0,0.05
14.0,26.0,0.05
15.0,27.0,0.05
16.0,28.0,0.05
17.0,28.0,0.05
18.0,29.0,0.05
19.0,34.0,0.05
20.0,40.0,0.05
21.0,42.0,0.05
22.0,43.0,0.05
23.0,46.0,0.05
24.0,48.0,0.05
25.0,52.0,0.05
26.0,54.0,0.05
27.0,58.0,0.05
28.0,59.0,0.05
29.0,59.0,0.05
30.0,60.0,0.05
31.0,61.0,0.05
32.0,68.0,0.05
33.0,70.0,0.05
34.0,71.0,0.05
35.0,78.0,0.05
36.0,80.0,0.05
37.0,81.0,0.05
38.0,87.0,0.05
39.0,93.0,0.05
40.0,94.0,0.05
41.0,105.0,0.05
42.0,107.0,0.05
43.0,115.0,0.05
44.0,117.0,0.05
45.0,124.0,0.05
46.0,129.0,0.05
47.0,139.0,0.05
48.0,155.0,0.05
49.0,160.0,0.05
50.0,164.0,0.05
51.0,176.0,0.05
52.0,184.0,0.05
53.0,184.0,0.05
54.0,195.0,0.05
55.0,206.0,0.05
56.0,216.0,0.05
57.0,226.0,0.05
58.0,232.0,0.05
59.0,242.0,0.05
60.0,255.0,0.05
61.0,263.0,0.05
62.0,283.0,0.05
63.0,291.0,0.05
64.0,291.0,0.05
65.0,297.0,0.05
66.0,305.0,0.05
67.0,307.0,0.05
68.0,317.0,0.05
69.0,327.0,0.05
70.0,340.0,0.05
71.0,357.0,0.05
72.0,369.0,0.05
73.0,397.0,0.05
74.0,427.0,0.05
75.0,462.0,0.05
76.0,487.0,0.05
77.0,520.0,0.05
78.0,541.0,0.05
79.0,557.0,0.05
80.0,576.0,0.05
81.0,594.0,0.05
82.0,627.0,0.05
83.0,647.0,0.05
84.0,663.0,0.05
85.0,684.0,0.05
86.0,701.0,0.05
87.0,718.0,0.05
88.0,738.0,0.05
89.0,763.0,0.05
90.0,789.0,0.05
91.0,815.0,0.05
92.0,838.0,0.05
93.0,861.0,0.05
94.0,880.0,0.05
95.0,905.0,0.05
96.0,934.0,0.05
97.0,958.0,0.05
98.0,989.0,0.05
99.0,1012.0,0.05
100.0,1032.0,0.05
101.0,1045.0,0.05
102.0,1077.0,0.05
103.0,1100.0,0.05
104.0,1125.0,0.05
105.0,1143.0,0.05
106.0,1168.0,0.05
107.0,1190.0,0.05
108.0,1208.0,0.05
109.0,1230.0,0.05
110.0,1251.0,0.05
111.0,1282.0,0.05
112.0,1307.0,0.05
113.0,1333.0,0.05
114.0,1347.0,0.05
115.0,1355.0,0.05
116.0,1380.0,0.05
117.0,1403.0,0.05
118.0,1429.0,0.05
119.0,1448.0,0.05
120.0,1470.0,0.05
121.0,1489.0,0.05
122.0,1509.0,0.05
123.0,1536.0,0.05
124.0,1563.0,0.05
125.0,1582.0,0.05
126.0,1608.0,0.05
127.0,1631.0,0.05
128.0,1644.0,0.05
129.0,1650.0,0.05
130.0,1673.0,0.05
131.0,1702.0,0.05
132.0,1719.0,0.05
133.0,1737.0,0.05
134.0,1745.0,0.05
135.0,1753.0,0.05
136.0,1774.0,0.05
137.0,1787.0,0.05
138.0,1807.0,0.05
139.0,1820.0,0.05
140.0,1836.0,0.05
141.0,1836.0,0.05
142.0,1836.0,0.05
143.0,1836.0,0.05
144.0,1902.0,0.05
145.0,1922.0,0.05
146.0,1933.0,0.05
147.0,1944.0,0.05
148.0,1969.0,0.05
149.0,1998.0,0.05
150.0,1998.0,0.05
151.0,2021.0,0.05
152.0,2033.0,0.05
153.0,2043.0,0.05
154.0,2062.0,0.05
155.0,2083.0,0.05
156.0,2104.0,0.05
157.0,2112.0,0.05
158.0,2128.0,0.05
159.0,2143.0,0.05
160.0,2162.0,0.05
161.0,2172.0,0.05
162.0,2190.0,0.05
163.0,2208.0,0.05
164.0,2216.0,0.05
165.0,2231.0,0.05
166.0,2254.0,0.05
167.0,2267.0,0.05
168.0,2281.0,0.05
169.0,2286.0,0.05
170.0,2295.0,0.05
171.0,2304.0,0.05
172.0,2309.0,0.05
173.0,2323.0,0.05
174.0,2339.0,0.05
175.0,2358.0,0.05
176.0,2364.0,0.05
177.0,2368.0,0.05
178.0,2388.0,0.05
179.0,2389.0,0.05
180.0,2409.0,0.05
181.0,2422.0,0.05
182.0,2438.0,0.05
183.0,2445.0,0.05
184.0,2457.0,0.05
185.0,2465.0,0.05
186.0,2475.0,0.05
187.0,2484.0,0.05
188.0,2490.0,0.05
189.0,2495.0,0.05
190.0,2504.0,0.05
191.0,2507.0,0.05
192.0,2513.0,0.05
193.0,2527.0,0.05
194.0,2539.0,0.05
195.0,2550.0,0.05
196.0,2550.0,0.05
197.0,2556.0,0.05
198.0,2565.0,0.05
199.0,2570.0,0.05
200.0,2574.0,0.05
201.0,2577.0,0.05
202.0,2583.0,0.05
203.0,2587.0,0.05
204.0,2587.0,0.05
205.0,2592.0,0.05
206.0,2595.0,0.05
207.0,2603.0,0.05
208.0,2610.0,0.05
209.0,2613.0,0.05
210.0,2616.0,0.05
211.0,2616.0,0.05
212.0,2617.0,0.05
213.0,2628.0,0.05
214.0,2627.0,0.05
